HstNummer;Name ohne Ort;Ort;Globale ID;WGS84 X;;WGS84 Y
5559;Bozener Straße;Starnberg;de:09188:5559;48,0068501899292;;11,337953489969
5560;Riedesel-/Wankstraße;Söcking (Kr STA);de:09188:5560;48,0081357079463;;11,3239448904904
5561;Gemeindegrenze;Seefeld (Oberbay);de:09188:5561;48,0510200540129;;11,2088053097889
5562;Rummelsberger Stift Söck.;Söcking (Kr STA);de:09188:5562;48,0049730948133;;11,3183842981785
5563;Altenheim Maria Eich;Krailling;de:09188:5563;48,1029969695068;;11,4083141468581
5564;Kreissparkasse;Söcking (Kr STA);de:09188:5564;48,0037206138487;;11,3179853439417
5566;Maising;Maising;de:09188:5566;47,9852943390657;;11,2900415733316
5567;Schluchtweg;Maising;de:09188:5567;47,986503486782;;11,2950756225619
5568;Maxhof;Maxhof (Pöcking);de:09188:5568;47,9843389432036;;11,3088898630386
5569;Prinz-Karl-Straße;Starnberg;de:09188:5569;48,0039676132264;;11,3309412215018
5572;Neuhochstadter Straße;Hochstadt (Oberbay);de:09188:5572;48,0609378251584;;11,2668260369522
5573;Ina-Seidl-Weg;Starnberg;de:09188:5573;47,9881352291903;;11,3272470855469
5574;Am Schloßhölzl;Starnberg;de:09188:5574;48,0171292137089;;11,3504493290761
5575;Franziskusweg;Starnberg;de:09188:5575;48,0104167070543;;11,3482818382653
5577;Gymnasium;Starnberg;de:09188:5577;48,0034224748467;;11,3456092114915
5578;Wilhelmshöhenstraße;Starnberg;de:09188:5578;47,9888266865003;;11,3347942709252
5580;Pilotystraße;Starnberg;de:09188:5580;47,9823903939875;;11,3322379218249
5581;Einbettl West;Starnberg;de:09188:5581;48,025502614552;;11,3715540190269
5582;Leutstetten;Leutstetten (Kr STA);de:09188:5582;48,0293210029255;;11,3692014770349
5583;Petersbrunn;Starnberg;de:09188:5583;48,0269533692288;;11,3622585323753
5584;Niederpöcking;Niederpöcking;de:09188:5584;47,9771695057126;;11,3283672212204
5585;Schloßberg;Possenhofen;de:09188:5585;47,9602019852236;;11,3092383549977
5586;Wildmoos;Wildmoos (Starnberg);de:09188:5586;48,0146358071962;;11,389446417133
5587;GWG Argelsried;Gilching;de:09188:5587;48,1030128929161;;11,308013565759
5589;Hochstadter Straße;Oberbrunn (Kr STA);de:09188:5589;48,049724504353;;11,3152325621648
5590;Oberpfaffenhofen;Oberpfaffenhofen;de:09188:5590;48,0745092673067;;11,2626343395589
5591;Dorfstraße;Hochstadt (Oberbay);de:09188:5591;48,0563829751966;;11,2732627746063
5592;Schule;Hochstadt (Oberbay);de:09188:5592;48,0557735073371;;11,2665102687723
5593;Piusweg;Pöcking;de:09188:5593;47,9678956767428;;11,3024666199884
5594;Oberbrunn;Oberbrunn (Kr STA);de:09188:5594;48,0497445833506;;11,3170967382955
5595;Parkstraße;Pöcking;de:09188:5595;47,9646647872315;;11,3050811959962
5596;Taubenhüll;Starnberg;de:09188:5596;48,0315750972148;;11,3212385078138
5597;Enzianweg;Pöcking;de:09188:5597;47,9719338562015;;11,3039524911357
5598;Altes Rathaus;Pöcking;de:09188:5598;47,9667771747275;;11,3004461202816
5599;Abzw. Lindenberg-Siedlg.;Pöcking;de:09188:5599;47,9632831091861;;11,2938246119956
5601;Kohlschwarzweg;Oberbrunn (Kr STA);de:09188:5601;48,049639774099;;11,3176212385086
5602;Wieling;Wieling;de:09188:5602;47,9543376838099;;11,2684679953471
5603;Weilheimer Straße;Traubing;de:09188:5603;47,9394672928094;;11,2552795336854
5604;Maibaum;Traubing;de:09188:5604;47,9446839768175;;11,2581094374844
5605;Schule;Traubing;de:09188:5605;47,9434140319824;;11,2606173415261
5606;Machtlfing;Machtlfing;de:09188:5606;47,9470110343882;;11,2237125839287
5607;Schulzentrum;Gauting;de:09188:5607;48,0786789869481;;11,3743966807948
5608;Rathaus;Gauting;de:09188:5608;48,0672019694838;;11,3791379436529
5610;Würmbrücke;Gauting;de:09188:5610;48,0661186344842;;11,3817137002698
5611;J.-Dosch-Schule;Gauting;de:09188:5611;48,0688348331803;;11,3767433027409
5612;Buchendorfer Straße;Gauting;de:09188:5612;48,0650277959149;;11,3862617667954
5613;Planegger Straße;Gauting;de:09188:5613;48,070996179892;;11,3907129924706
5614;Feldstraße;Gauting;de:09188:5614;48,0709160378404;;11,394269901729
5616;Sonnwendstraße;Gauting;de:09188:5616;48,0672408970728;;11,3931724726991
5618;Buchendorfer Berg;Gauting;de:09188:5618;48,0641511149063;;11,3905253595312
5619;Forst-Kasten-Straße;Krailling;de:09188:5619;48,0982103147725;;11,4184786658582
5620;Buchendorf;Buchendorf b Gauting;de:09188:5620;48,0572531909913;;11,4025462054051
5622;Unterbrunner Straße;Gauting;de:09188:5622;48,0698988299134;;11,3641036837954
5623;Ammerseestraße;Gauting;de:09188:5623;48,0695579151585;;11,3642554819247
5624;A.-Fachkliniken;Gauting;de:09188:5624;48,0671615872649;;11,3538459444261
5625;Neurieder Straße;Buchendorf b Gauting;de:09188:5625;48,0686310667211;;11,407969769433
5626;Pentenried;Pentenried;de:09188:5626;48,0763050791816;;11,3501349744948
5627;Untertaxetweg;Gauting;de:09188:5627;48,0630815204933;;11,3906453069638
5628;Gut Pentenried;Pentenried;de:09188:5628;48,0782413093023;;11,3442592095102
