id,lat,lon
0206.EG.002,48.14714571500747,11.567278106232608
0206.EG.003,48.14709034738519,11.567336022710748
0206.EG.004,48.14717803893956,11.567057072973626
0305.04.508,48.14609440391391,11.569374210372473
0501.03.152,48.14871430139996,11.567871011718552
0501.EG.194,48.14841567314585,11.567546052963875
0502.Z1.257,48.148129237608345,11.567480302038376
0503.02.345A,48.1483384891566,11.565865189789264
0503.EG.340A,48.14834806409599,11.56617720641921
0503.EG.340B,48.14834806409599,11.56617720641921
0503.U1.310,48.148117832010826,11.566785669142009
0505.02.502,48.149463583541376,11.56654986333001
0505.U1.561,48.15006289679033,11.566986088562317
0507.EG.782,48.14931168118957,11.56863254255302
0509.02.921,48.14875735388313,11.566880300526037
0509.02.922,48.148726940795825,11.567037240238534
0509.02.953A,48.14930262787317,11.566896808473047
0509.Z1.921,48.1487386952626,11.566923686212574
0509.Z1.995,48.14972497055329,11.567161041097489
0597.EG.001,48.1489079,11.5673019
1501.EG.065,48.13678441404801,11.599879943637006
1551.01.051,48.13620389234808,11.59965789617982
1551.EG.002,48.136281202874756,11.599240700344891
1601.EG.005,48.16366924905944,11.593079798399657
1902.EG.013,49.14852,9.21514
1910.EG.050C,49.15120134559197,9.215279246639312
1915.01.101,49.15406181459724,9.216383519913537
1915.01.102,49.1540981457093,9.216325462272067
1915.01.117,49.15428307857579,9.216664262775367
2312.EG.106,48.18107851153192,11.54523868824566
2312.EG.201,48.181137098289014,11.54461037312376
2312.EG.202,48.1815114689108,11.545207147425344
2312.EG.203,48.18153098905418,11.545862007838934
2312.EG.206,48.18142750033971,11.543893969900552
2315.EG.001,48.1806660090127,11.546407218497876
2321.EG.101,48.18018574116152,11.541866713704394
2321.EG.102,48.18013787833786,11.541112887781964
2321.EG.103,48.18114518758915,11.541057868783582
2321.EG.104,48.18106806336252,11.541960216545904
2321.EG.105,48.18224047866866,11.545506336503252
2321.EG.106,48.18399688924495,11.54264260620593
2321.EG.108,48.1840242524149,11.544412981430582
2321.EG.107,48.18403928395145,11.543438769458248
2321.EG.109,48.18417533525263,11.545277334878762
2321.EG.116,48.18242010616717,11.54311893084585
2321.EG.130,48.18086844718087,11.54324532912426
2321.EG.131,48.180872755155235,11.543724681435007
2321.EG.201,48.18229113548156,11.541712969691872
2321.EG.202,48.18227703454758,11.543258405710477
2321.EG.301,48.1797562100287,11.543710909209295
2321.EG.302,48.180253321046735,11.543670945307582
2321.EG.401,48.17890537566771,11.542101156054002
2332.01.223,48.180151231038,11.545888280398486
2332.EG.203,48.17987222864974,11.54586145829444
2333.EG.111,48.179150833647185,11.54570203823772
2334.01.126,48.179357438130495,11.54520412811803
2401.02.201,48.16282356342194,11.5622227478309
2522.03.030,48.13641906661374,11.601746419879248
2803.01.001,48.131604176122124,11.585587760383874
2903.01.155,48.147696627077835,11.562693125878129
2903.02.270,48.1477693298618,11.56275604513374
2903.03.370,48.14782857629541,11.562658465489022
2903.EG.002,48.14800782818159,11.5629103854979
2903.EG.004,48.14783638547189,11.562612539553896
2907.01.130,48.143777402161135,11.558259872800704
2911.01.103,48.14717846411731,11.563121858812682
2911.02.203,48.14717846411731,11.563121858812682
