org_id,code,name,path
45310,TUWZB3P,Professur für Biodiversität der Pflanzen (Prof. Schäfer),TUM/Schools/Life Sciences/Departments/Life Science Systems/Biodiversität der Pflanzen (Prof. Schäfer)
45350,TUZEIRC,Integrative Research Institutes,TUM/Integrative Research Institutes
45351,TUZEMCT,Ehemaliges Munich Center for Technology in Society (MCTS),TUM/Integrative Research Institutes/Ehemaliges Munich Center for Technology in Society (MCTS)
45370,TUMWKME,Professur für Data-driven Materials Modeling (Prof. Koutsourelakis),TUM/Schools/Engineering and Design/Departments/Engineering Physics and Computation/Data-driven Materials Modeling (Prof. Koutsourelakis)
45411,TUPESIN,Studentische Initiativen,TUM/Partnerschaftliche Einrichtungen/Studentische Initiativen
45434,TUGSEDU,Graduate Center of Social Sciences and Technology,TUM/TUM Graduate School/Graduiertenzentren/Graduate Center of Social Sciences and Technology
45439,TUMEGZ0,TUM Medical Graduate Center,TUM/Fakultäten/Ehemalige Fakultät für Medizin/Fakultätsverwaltung/TUM Medical Graduate Center
45442,TUGSFHH,Helmholtz Graduate School Environmental Health (HELENA),TUM/TUM Graduate School/Graduiertenzentren/Helmholtz Graduate School Environmental Health (HELENA)
45451,TUGSVOR,Vorstand,TUM/TUM Graduate School/Vorstand
45452,TUMEDF3,Lehrstuhl für Diabetes und Gestationsdiabetes (HMGU) (Prof. Ziegler),TUM/Schools/Medicine and Health/Departments/Clinical Medicine/Klinik und Poliklinik für Kinder- und Jugendmedizin (Prof. Hauer)/Diabetes und Gestationsdiabetes (HMGU) (Prof. Ziegler)
45471,TUPHTEU,Professur für Theoretische Physik des frühen Universums (Prof. Garbrecht),TUM/Schools/Natural Sciences/Departments/Physics/Theoretische Physik des frühen Universums (Prof. Garbrecht)
45500,TUVBMPI,Fachschaftsverbund Mathematik/Physik/Informatik/Chemie,TUM/Beauftragte und Vertretungen/Studentische Vertretung/Fachschaften/Fachschaftsverbund Mathematik/Physik/Informatik/Chemie
45511,TUMELP0,Lehrstuhl für Neuroproteomik (DZNE) (Prof. Lichtenthaler),TUM/Schools/Medicine and Health/Departments/Clinical Medicine/Weitere Lehrstühle und Professuren Clinical Medicine/Neuroproteomik (DZNE) (Prof. Lichtenthaler)
45512,TUS5VM1,Professur für Vaskuläre Biologie (Prof. Maegdefessel),TUM/Schools/Medicine and Health/Departments/Clinical Medicine/Institut für Molekulare Vaskuläre Medizin (Prof. Maegdefessel)/Vaskuläre Biologie (Prof. Maegdefessel)
45532,TUPETUG,Technische Universität Graz,TUM/Partnerschaftliche Einrichtungen/Technische Universität Graz
45551,TUEIMOL,Professur für Molekularelektronik (Prof. Tornow),"TUM/Schools/Computation, Information and Technology/Departments/Electrical Engineering/Molekularelektronik (Prof. Tornow)"
45571,TUME2M5,Abteilung für Klinische Toxikologie (Prof. Eyer),"TUM/Schools/Medicine and Health/Departments/Clinical Medicine/Klinik und Poliklinik für Innere Medizin II, Gastroenterologie (Prof. Schmid)/Abteilung für Klinische Toxikologie (Prof. Eyer)"
45591,TUMAF27,Lehrstuhl für Algebraische Geometrie (Prof. Liedtke),"TUM/Schools/Computation, Information and Technology/Departments/Mathematics/Algebraische Geometrie (Prof. Liedtke)"
45631,TUXB20F,Schlüsselkompetenzen,TUM/Schools/Engineering and Design/Studienorganisation/Schlüsselkompetenzen
45651,TUMECC0,CCC München TUM,TUM/Schools/Medicine and Health/CCC München TUM
45672,TUEDS24,Schülerforschungszentrum Berchtesgadener Land,TUM/Schools/Social Sciences and Technology/Schülerforschungszentrum Berchtesgadener Land
45711,TUSPL14,Lehrstuhl für Sport- und Gesundheitsmanagement (Prof. Königstorfer),TUM/Schools/Medicine and Health/Departments/Health and Sport Sciences/Sport- und Gesundheitsmanagement (Prof. Königstorfer)
45771,TUME2M6,Professur für Molekulare Onkologie und Funktionelle Genomik (Prof. Rad),TUM/Schools/Medicine and Health/Departments/Clinical Medicine/Institut für Molekulare Onkologie und Funktionelle Genomik (Prof. Rad)/Molekulare Onkologie und Funktionelle Genomik (Prof. Rad)
45772,TUMEMA0,Institut für Molekulare Allergologie (Prof. Schmidt-Weber),TUM/Schools/Medicine and Health/Departments/Clinical Medicine/Institut für Molekulare Allergologie (Prof. Schmidt-Weber)
45774,TUMEIM0,Institut für Molekulare Immunologie (Prof. Knolle),TUM/Schools/Medicine and Health/Departments/Clinical Medicine/Institut für Molekulare Immunologie (Prof. Knolle)
45780,TUMEIM1,Lehrstuhl für Molekulare Immunologie (Prof. Knolle),TUM/Schools/Medicine and Health/Departments/Clinical Medicine/Institut für Molekulare Immunologie (Prof. Knolle)/Molekulare Immunologie (Prof. Knolle)
45791,TUEDS23,Ausbildungszentrum der Technischen Universität München (AuTUM),TUM/Schools/Social Sciences and Technology/Ausbildungszentrum der Technischen Universität München (AuTUM)
45811,TUSPL15,Lehrstuhl für Diversitätssoziologie (N.N.),TUM/Fakultäten/Ehemalige Fakultät für Sport- und Gesundheitswissenschaften/Lehrstühle und Professuren/Diversitätssoziologie (N.N.)
45831,TUZEBD1,Datenschutzbevollmächtigte/r TUM Institute for Advanced Study (IAS),TUM/TUM Institute for Advanced Study (IAS)/Datenschutzbevollmächtigte/r
45832,TUZEBD2,"Datenschutzbevollmächtigte/r Munich Institute of Integrated Materials, Energy and Process Engineering (MEP)","TUM/Integrative Research Institutes/Munich Institute of Integrated Materials, Energy and Process Engineering (MEP)/Datenschutzbevollmächtigte/r"
45834,TUZEBD4,Datenschutzbevollmächtigte/r Forschungszentrum für Weiße Biotechnologie (i.Gr.),TUM/Weitere wissenschaftliche Einrichtungen/Forschungszentrum für Weiße Biotechnologie (i.Gr.)/Datenschutzbevollmächtigte/r
45835,TUZEBD5,Datenschutzbevollmächtigte/r Radiochemie München (RCM),TUM/Weitere wissenschaftliche Einrichtungen/Radiochemie München (RCM)/Datenschutzbevollmächtigte/r
45836,TUZEBD6,Datenschutzbevollmächtigte/r Forschungs-Neutronenquelle Heinz Maier-Leibnitz (FRM II),TUM/Wissenschaftliche Zentralinstitute/Forschungs-Neutronenquelle Heinz Maier-Leibnitz (FRM II)/Datenschutzbevollmächtigte/r
45837,TUZEBD7,Datenschutzbevollmächtigte/r World Agricultural Systems Center - Hans Eisenmann-Forum,TUM/Wissenschaftliche Zentralinstitute/World Agricultural Systems Center - Hans Eisenmann-Forum/Datenschutzbevollmächtigte/r
45838,TUZEBD8,Datenschutzbevollmächtigte/r Munich Institute of Biomedical Engineering (MIBE),TUM/Integrative Research Institutes/Munich Institute of Biomedical Engineering (MIBE)/Datenschutzbevollmächtigte/r
45839,TUZEBD9,Datenschutzbevollmächtigte/r Zentralinstitut für Ernährungs- und Lebensmittelforschung (ZIEL) - Institute for Food & Health,TUM/Wissenschaftliche Zentralinstitute/Zentralinstitut für Ernährungs- und Lebensmittelforschung (ZIEL) - Institute for Food & Health/Datenschutzbevollmächtigte/r
